title,author,abstract,discipline,date_of_publication
Editorial: Interdisciplinary Approaches to Public Health and Sustainable Development,Chisoni Mumba,"Sustainable development and public health are inherently complex challenges that require interdisciplinary collaboration. This editorial highlights four recent studies that exemplify the critical role of interdisciplinary research. These studies address key issues in malaria control, aquaculture management, veterinary education, and zoonotic diseases. They provide valuable insights into how integrated approaches can advance both economic and public health objectives.",General,2/18/2025
"Malaria Transmitting Anophiline Mosquito Larva in Fishponds of Mongu District, Western Province of Zambia",Ellah Zingani; Conrad Muyamba Busiku; Monicah Mirai Mburu,"Mongu District, situated in the malaria-endemic Western Province of Zambia, has witnessed a significant increase in fish farming activities in recent years. These practices have brought substantial economic and nutritional benefits to the local population, offering an alternative source of income and food security. However, poorly managed fishponds have emerged as potential breeding grounds for Anopheles mosquitoes, the primary vectors responsible for malaria transmission. This poses a dual challenge of promoting sustainable aquaculture while mitigating associated public health risks.

This study aimed to investigate whether mosquito larvae found in fishponds within Mongu District belonged to malaria-transmitting Anopheline species. A total of 26 fishponds were surveyed across the district, with larvae samples collected, preserved, and subjected to detailed morphological identification at the Macha Research Trust. The findings revealed the presence of Anopheline mosquito larvae, which have the potential to mature into adult vectors of malaria. Crucially, unlined fishponds were identified as hotspots for mosquito breeding, whereas lined ponds were completely devoid of larvae. These observations underscore the role of proper fishpond design and management in reducing mosquito proliferation.
The study further highlights the effectiveness of lined ponds, which not only enhance water retention and fish productivity but also serve as a barrier against mosquito breeding. Additionally, the introduction of larvivorous fish species—fish that feed on mosquito larvae—was identified as a sustainable biological control measure to reduce malaria transmission risks associated with aquaculture.
These findings underscore the urgent need for integrated strategies that balance the economic benefits of fish farming with the imperative of malaria control. Recommendations include promoting the adoption of lined fishponds, training local farmers in best aquaculture practices, and encouraging the use of biological mosquito control methods such as larvivorous fish. Policymakers, public health officials, and aquaculture stakeholders must collaborate to ensure that fish farming contributes positively to livelihoods without exacerbating public health challenges.
This study serves as a critical reminder that the intersection of aquaculture and public health requires a coordinated approach to ensure sustainable development in malaria-endemic regions like Mongu District.",Biomedical Sciences,2/19/2025
Editorial: Increasing Human Mpox Cases: A Signal for Potential Re-emergence of Smallpox?,Samuel Munalula Munjita,"Since 2022, Mpox has surged to a global scale, with nearly 100,000 cases reported by June 2024. This resurgence predominantly affects individuals under 45, born during or after the cessation of smallpox vaccination. Epidemiological evidence confirms that smallpox vaccines offer over 80% protection against Mpox. The rise in Mpox cases appears to be driven by a cocktail of factors which include the emergence of new MPXV strains, a dwindling population of previously smallpox vaccinated individuals, and an increasing number of individuals unvaccinated against smallpox. Although those vaccinated over 40 years ago retain significant immunity, studies suggest a concerning annual decline of 1.29%. Given these dynamics - rising Mpox cases linked to declining head immunity against smallpox and a growing naïve population - the scenario raises a critical question: Are we on the brink of a smallpox re-emergence? However the question is answered, it is imperative to address these issues urgently by conducting large-scale investigations to understand the residual immunity against smallpox and refine vaccination strategies. The recent resurgence of measles highlights how swiftly diseases once under control can reappear when vaccination coverage declines.",Biomedical Sciences,4/11/2025
"Characterization of Microplastics Residue in Water and Biota of Majidun Estuarines, Lagos Nigeria",Rasheed Yemi Oladunjoye; Abduljeleel Jimoh Adeyemi; Precious Tiwaloluwa Shokoya; Oyebamiji Oladeni Fafioye; Raheem Adekunle Asiru; Rasheedat Oluwakemi Kuku; Mistura Temitope Adeleke; Oladunni Nimota Adekunle,"Microplastic contamination is a critical environmental issue impacting aquatic ecosystems worldwide. Due to their environmental persistence, microplastics degrade water quality, threaten aquatic biota, and pose potential health risks to humans through water/sea food consumption. Despite the global significance of this problem, no documented studies have assessed microplastic pollution in the Majidun River, Ikorodu, Lagos State, Nigeria. This study investigated the occurrence of microplastics in surface water and commercially available aquatic species in Majidun River, Ikorodu, Lagos State, Nigeria. Water samples were collected using amber bottles and analyzed for microplastic occurrence using Fourier-transform infrared spectroscopy (FTIR), while fish, Kribia kribensis, Chrysichthyes filamentous, Galeoides decadactylus, Clarias lazera, Carranx hippos and Monodactylus sebae) and crustacean species (Callinectes pallidus), were dissected to extract and analyze gastro-intestinal contents for microplastic contamination.The results revealed significant microplastic contamination in both the water and biota (fish and crab). Neoprene and Ethylene Propylene were the only polymers detected in the surface water. In the biota, eight microplastic polymers were identified: Polyacrylamide, Polyaramid, Nylon, Polybutylene terephthalate, polyvinyl alcohol, Ethylene propylene, Polyurethane, and Neoprene. Microplastic occurrence was highest in Monodactylus sebae (23%), followed by Galeoides decadactylus (19%), Clarias lazera (19%), and Carranx hippos (18%). The lowest occurrences were recorded in Kribia kribensis, Chrysichthyes filamentous, and Callinectes pallidus (7% each). This study provides the first evidence of significant microplastic contamination in the Majidun River, highlighting the need for policies to mitigate microplastic pollution and raise awareness of its impacts on water quality, aquatic life, and human health.",General,4/18/2025
"Evaluation of Smallholder Dairy Farmers’ Knowledge, Attitudes, Practices and Factors Contributing to Hygienic Production of Raw Milk in Malawi’s Blantyre Agriculture Development Division",Enock Chilambula; John Kothowa; Save Kumwenda; Andrew Malata Phiri,"Dairy products provide nutrition to households but, could also serve as a source of many milk-borne  diseases  when  produced  under  poor  hygiene  conditions.  This  quantitative,  cross-sectional study administered 410 questionnaires, collected 90 raw milk samples and visited 90 farms  to  evaluate  hygienic  milk  production  practices  in  Malawi’s  Blantyre  Agriculture Development Division (BLADD). Descriptive statistics were used to summarise questionnaire, farm and laboratory observations data.The majority of farmers 86% and 66.6% (n=410) had formal  education  and  structured  pre-training in hygienic milk production respectively. The overall  KAP  knowledge  was  only  54%,  most  smallholder  dairy  farmers  reported  positive attitudes  at  88%  and  excellent  practices  at  63%.  Few  farmers  (27.1%;  n=410)  had  low aggregate  score  of  knowledge,  attitude  and  practice  were  six  (OR=5.910,  95%  CI:  1.997-17.489) times less likely to produce hygienic milk. Inadequate pre-training and a low aggregate score were identified as key factors behind the failure of smallholder farmers in Malawi’s BLADD  to  meet  Malawian  and  European  Union  (EU)  standards,  raising  concerns  about potential milk-borne diseases. Out of 90 raw milk samples analyzed for presence of E. coli, 11 (12%)  and  50  (55.5%)  raw  milk  samples  were  within  acceptable  limits  of  Malawian  and European Union standards respectively. These low percentages obtained could be attributed to  unsanitary  animal  quarters,  as  half  of  smallholder  dairy  farmers  in  Malawi’s  Blantyre Agriculture Development Division do not remove waste daily and some workers milk cows without supervision. In conclusion, smallholder dairy farmers had positive attitudes and good milk hygiene practices without grounded knowledge and it was difficult to meet legal limits of Malawi and European Union Standards for E. coli. Therefore, regular ongoing annual refresher farm management trainings and monitoring of hazards in raw milk production are important for safe milk",Biomedical Sciences,5/25/2025
Characterization of Qualitative and Quantitative Traits of Five Strains of Zambia Indigenous Chicken,Mayoba Barbara Moono; Wilson N.M Mwenya; Kolawole Odubote; Mubanga Mwale,"This study assessed the phenotypic characteristics of five indigenous chicken strains from Zambia’s Luapula, Northern, Muchinga, Southern, and Lusaka provinces, providing baseline data for a selective breeding program aimed at improving performance. A total of 100 chickens (74 females and 26 males) were sampled. Qualitative traits were observed, and quantitative traits such as body weight, body length, thigh length and circumference, chest circumference, shank length and circumference, wingspan, and keel length were measured. Males had significantly higher live body weights and measurements than females (P < 0.05), with average mature male weight at 1.88 kg and females at 1.63 kg. Frizzled-feathered males had significantly higher shank lengths (10.8 ± 0.76 cm) than females. No significant strain differences among males were noted in wingspan or live weight. Naked-neck males had the highest live weight, while short-legged males had the lowest for all the strains. Normal-feathered, Naked-neck and Frizzled females had similar shank lengths and circumferences, significantly higher than dwarf females. The study found high positive correlations between body weight and other measurements (P < 0.01), except for body length and thigh length circumference in naked-neck females. Chickens were distributed as normal-feathered (44%), white-spotted (19%), naked-neck (17%), short-legged (13%), and frizzled-feathered (7%). The dominant comb type was single (96%), followed by pea (3%), and rose (1%). Grey shank colour was most common (33%), followed by white (31%), black (18%), and yellow (17%), with green at 1%. White earlobe colour was universal (100%), and eye colours were predominantly brown (42%), followed by black (31%) and grey (23%), with white and grey being the least common (1% and 3%). The phenotypic diversity within these strains suggests great potential for improving indigenous chicken performance through selective breeding.",Agriculture Sciences,4/10/2025
"Contagious Bovine Pleuropneumonia-Associated Fetal Wastage and Meat Quality Compromise in Cattle Slaughtered  at Dr Abubakar Saraki Memorial Abattoir, Kwara State, Nigeria",Isaac Dayo Olorunshola; Shukrah Omotayo Ghal; Andrew Raymond Peters; David Sunday Adegboye,"Contagious bovine pleuropneumonia (CBPP) is still endemic in Nigeria. The Mycoplasma Unit of the Department of Veterinary Microbiology, University of Ilorin, Kwara State, Nigeria, has completed an 18-month investigation of CBPP cases encountered at the main city abattoir. Investigation was with special emphasis on fetal wastes, physical and health conditions of cattle presented for slaughter at the abattoir. Blood and tissues samples were obtained during ante mortem and postmortem examinations for laboratory investigations and diagnosis of CBPP were based on classical pathological lesions and culture of Mycoplasma organism identified serologically as M. mycoides subsp. mycoides from lung lesions and pleural fluids obtained from the cattle. From a total of 41,069 cattle slaughtered, 40,075 (97.6%) were cows from which 6,699 fetuses were encountered, and 963 (2.3%) were bulls. Thus, an average of 372 fetuses was wastedeach month at the abattoir. Of the 40,075 cows slaughtered, 913 (2.3%) were CBPP-positive and carried 153 fetuses. Most cows carried twin fetuses.We estimate that each fetal wastage is equivalent to 50,000 Naira losses to the farmer, and each emaciated animal slaughtered is a loss of approximately 200,000 Naira.Studies are warranted to determine annual national economic losses resulting from slaughtering emaciated cattle that are often discovered to be pregnant, and propose strategies to address the avoidable revenue loss.",Veterinary Medicine,6/26/2025
Evaluating the Effects of Garlic (Allium sativum) as a Feed Additive on the Growth Performance and Immune Response in Broiler Chickens,Joyce Mufungwe; Mayoba Barbara Moono; Ignatius Musenge Chimbaka; Francisco Kanyinji; Idowu Kolawole Odubote; Sylvia Jana Harrison; Joseph Nkhuwa,"In a quest to find affordable, antibiotics free and readily available means of increasing broiler meat productivity, a number of natural feed additives have been tested and suggested. Garlic (Allium sativum) has emerged as a preferable alternative to synthetic feed additives. The aim of this study was to assess the effect of garlic as a feed additive on feed intake, weight gain, feed conversion ratio, and immune response. 300-day-old chicks were acclimatized for 2 weeks and then randomly assigned to 5 treatments (0.00%, 0.25%, 0.50%, 0.75%, and 1.00% garlic inclusion levels) with replicates. Mean weekly feed intake, weight gain, feed conversion ratio, and differential leucocyte counts (lymphocytes, heterophils, basophils, eosinophils, and monocytes) were analyzed for treatment effects. There were significant differences among the means across all treatments for all dependent variables except mean weekly body weight gain at 2 weeks. Garlic supplementation significantly influenced body weight from three to six weeks of age, with the control group (0.00%) consistently exhibiting the lowest body weight. At six weeks, body weight was highest at 0.75%, followed by 1.00%, 0.50%, and 0.25% garlic inclusion levels, demonstrating the positive impact of dietary garlic on growth performance. It was also observed that garlic supplementation led to increases in the basophil and monocyte counts, suggesting a bolstered immune system.",Agriculture Sciences,4/10/2025
A Comparative Study of Pharmaceutical and Bio-Equivalence Characteristics of Different Brands of Extended-Release Diclofenac Sodium Marketed in Zambia Using the Mongoloid Dog Model,Safe Maricky Musonda; Tyson Longwani Muungo,"Diclofenac sodium is a non-steroidal anti-inflammatory compound (NSAID) that is used to treat inflammation and manage pain caused by various conditions. In Zambia, numerous generic brands of diclofenac are available on the market, providing prescribers and patients with a wide range of options. This Study compared pharmaceutical and bioequivalence characteristics of three (3) different brands of extended-release diclofenac sodium 100mg tablets marketed in Zambia. An analytical technique was employed to examine physicochemical parameters. The dissolution analysis was conducted using the paddle technique. A randomised, single-dose, two-way crossover design was performed on six Mongoloid female dogs that were fasted. After receiving 100 mg diclofenac sodium tablets orally, the levels of diclofenac in the plasma were determined using UV-Vis spectrophotometry. Pharmacokinetic parameters, including the time taken for maximum drug concentration (T-max), maximum drug concentration in plasma after dosing (C-max), area under the curve from 0 to 10 (AUC 0-10), and area under the curve infinity (AUC ∞), were determined through a non-compartmental procedure. The physicochemical characteristics were subjected to analysis of variance (ANOVA), while Bioequivalence was assessed using the linear-log trapezoidal rule method. 
The non-aqueous titration showed that the purity of diclofenac ranged from 95.41% to 102.8% w/w. All brands were well absorbed in the gastrointestinal tract, and the parameters were within the acceptable range set by the FDA for Bioequivalence. The 100 mg diclofenac sodium extended-release tablets from three brands had good physical and chemical properties and met the criteria for drug release. However, there were noticeable differences in the AUC0-10hrs between brand A and brands B and C, suggesting that while the brands are chemically similar, they are not equal in terms of biological equivalence.",Biomedical Sciences,6/2/2025
A case of 4-year-old Female sheep-Goat Hybrid Born Under Natural Conditions in Namibia,Matias Natangwe Naunyango; Cindy K Harper; Girja Shanker Pandey,"This article reports a 4 year old female sheep x goat interspecific hybrid born under natural conditions in Namibia. Repetitive DNA sequencing using microsatellite markers was used to confirm the hybrid. Morphological characteristics of the sheep-goat hybrid had higher parameters in terms of heart girth, height at withers and trunk length compared to other animals in the flock. The weight of hybrid was 74 kg while the weight of its dam, a goat doe, was 42 kg and the possible sire, a sheep ram, weighed 51 kg.  The hybrid had long and thick tail, a head resembling a sheep whereas its skin, horns, and teats were like those of a goat and its legs were relatively long. The hybrid conceived on two occasions with a buck, but aborted at about 4 months into the pregnancy. The hybrid in terms of body weight and dimensions was bigger than common goats and sheep found in the rural livestock traditional farming area of the region possibly indicating hybrid vigour. The hybrid’s large size brings hope about need of more research and breeding and the possibility towards cloning of such animals using nuclear transfer technology for increased meat production in future. The authors believe this is the first documented report of a sheep-goat hybrid from Namibia, and third in Africa, that lived normally for a long time to full adulthood and even conceived, even though the conceptus was aborted.",Veterinary Medicine,5/14/2025
Antimicrobial Potential of Combretum molle Leaf Extracts: Insights from Zambia,Joshua Ngwisha; Bernard Mudenda Hangómbe; Kennedy Choongo; James Nyirenda; Roy Mwenechanya; Zombe Kadango; Emmanuel Kabwali; Ladslav Moonga; Mulemba Tilika Samutela; Bruno Stephen July Phiri; Mbawe Zulu; Soneni Charlotte Mabhena,"The global rise in antimicrobial resistance (AMR) necessitates innovative solutions. This study investigates the antimicrobial activity and phytochemical composition of Combretum molle, a native Zambian plant, to explore its potential as a cost-effective source for novel antimicrobial agents. Exhaustive extraction using solvents of varying polarities was performed on dried leaf extracts of C. molle. These extracts were tested against a panel of clinically significant gram-negative and gram-positive bacterial isolates and screened for phytochemicals. Phytochemical screening revealed the presence of steroids, terpenoids, phenols, flavonoids, tannins, saponins, alkaloids, and glycosides. Antimicrobial activity was assessed using disk diffusion and broth microdilution techniques, with minimum inhibitory concentrations (MICs) determined through spectrophotometry and spot inoculation. The results revealed substantial antimicrobial activity, with hexane extracts showing the highest efficacy (MIC range: 3.6 to 50.4 mg/ml) and ethanol extracts exhibiting comparable activity to tetracycline (inhibition zones: 6 to 26 mm, P-value < 0.05). These findings highlight the therapeutic potential of C. molle extracts and support their possible integration into ethnomedicine as alternatives to conventional antimicrobials. By tapping into nature's arsenal, this study contributes to the search for effective strategies against multi-drug resistance, offering hope in the fight against AMR.",Biomedical Sciences,5/19/2025
Performance of Cowpea Progenitor and Hybrids in Varying Concentration Levels of Phosphorus in Hydroponic Setup.,Emmanuel Chikalipa,"Among abiotic factors limiting cowpea productivity, phosphorus (P) is an important element. However, in Zambia, no study has determined optimal soil P concentrations for the available cowpea germplasm. The objectives of this study were (i) to identify cowpea genotype that performs better in different concentration levels of phosphorus in hydroponic setups,  and ii) to determine the phenotypic response of agronomic variables in different concentration levels of phosphorus. The experiment was set up as 4 x 10 completely randomized design (CRD) replicated 3 times, with 4 doses of P, thus, 0mg/L, 4.7mg/L, 9.3mg/L and 13.95mg/L in nutrient medium and ten genotypes (G). Genotype LT BT1h was identified as a better performer across P concentration. Further exploration of G x P interaction main effects revealed that genotype LT BT1 h performed better than the progenitor in all doses of P concentration except in a medium with 9.3mg/L and 13.95mg/L. Overall, the results showed that applying a concentration above 9.3mg/L P impeded seedling productivity. Significant better performances were obtained with shoot biomass, plant biomass and shoot length of measured variables, implying that the identified variables in varying levels of P concentration can initially be used to aid in selecting for high performing genotypes. The identified novel and best-performing cowpea hybrids for economic traits be recommended for further evaluation.",Agriculture Sciences,6/7/2025
Sweet but Toxic: Organophosphate Pesticide Residues in Nigerian Honey as an Emerging Threat to Food Safety and Agriculture,Olufela Ogunbo; Abdulwahab Osibogun; Folarin Ojo Owagboriaye; Marvellous Ariyibi; Abduljeleel Jimoh Adeyemi; Bamidele Julius; Sulaimon Aina; Olusegun Adebayo Lawal,"Honey, despite its nutritional and therapeutic properties, can pose significant risks to environmental health and food safety due to the presence of contaminants. This study investigated the occurrence of organophosphate pesticide residues in honey samples collected from hard-to-reach apiaries in Nigeria and examined the relationship between these residues, honey purity, and nutritional composition. Multiple organophosphate residues were detected using Gas Chromatography–Mass Spectrometry, with dimethoate and merphor being the most prevalent. Although all detected concentrations were below the maximum residue limits (MRLs) set by the European Food Safety Authority (EFSA), some values, particularly dimethoate from Imosan, approached the regulatory thresholds. Nutritional analysis revealed that the protein, moisture, ash, and sugar contents of the honey samples generally fell within international quality standards. Statistical correlations indicated strong associations between honey purity and pesticide residues, as well as with moisture and dry matter content. This study underscores the need for continuous monitoring of pesticide residues in apicultural products and highlights potential implications for food safety and public health.",General,5/29/2025
Optimization of the production process and nutritional composition of Zambian Munkoyo and Chibwantu Non-Alcoholic Beverages,Grace Kabombo Munthali; John Shindano; Syney Phiri; Himoonga Bernard Moonga,"This study investigated the optimization of production procedures and nutritional content of Munkoyo and Chibwantu, traditional Zambian non-alcoholic beverages. Key production parameters, such as, pH, Total Titratable Acidity, viscosity, and Total Soluble Solids were evaluated for optimization, while analyses for proximate composition, calcium, iron, and zinc were conducted to assess nutrient content. Results revealed no significant differences in fermentation outcomes between extracts from 100 g and 150 g of dried Munkoyo root (p > 0.05), with pH levels ranging from 3.53 to 3.77 and TTA below 1%. Nutritional analyses indicated that Munkoyo contains 2.7 to 4.1 mg/100 g of calcium, 0.04 to 0.05 mg/100 g of iron, and 0.19 to 0.38 mg/100 g of zinc, while Chibwantu provides 2.4 to 4.7 mg/100 g of calcium, 0.03 to 0.05 mg/100 g of iron, and 0.25 to 0.46 mg/100 g of zinc. The low mineral content suggests supplementation with nutrient-rich ingredients. This research lays a foundation for quality standards and supports the sustainability of Munkoyo root, aiding the growth of Zambia's traditional beverage market.",Agriculture Sciences,5/25/2025
"A Case Report of Argulosis at a Recreational Fishing Dam in Lusaka, Zambia",Zainul Abedeen Bhura; Sipiwe Ndhlovu; John Chilundu; Racheal Mulauzi; Kunda Ndashe,"This study reports the first confirmed outbreak of argulosis in Zambia, involving multiple fish species at a recreational fishing dam in Lusaka. Argulus spp. (fish lice), ectoparasitic crustaceans known for their broad host range and pathogenicity, were identified as the causative agents. Six fish species, both indigenous and introduced, exhibited clinical signs such as erratic swimming and surface rubbing, with post-mortem examinations revealing characteristic lesions including skin ulcers and parasite-laden gills. Morphological analysis confirmed the presence of Argulus spp. Environmental stressors, high fish stocking densities, and unregulated fish transfers were identified as potential drivers of the outbreak. The findings highlight the growing risk of parasite emergence in managed aquatic systems across sub-Saharan Africa. Recommendations include enhancing biosecurity, routine surveillance, rapid response protocols, public awareness, and targeted research to mitigate future outbreaks and safeguard fish health and biodiversity.",Veterinary Medicine,5/27/2025
Programmed Death Ligand-1 Expression in Gastric Cancer Cases in Zambia,"Husna Munshi; 2.	Mupeta Songwe; Violet Kayamba; Violet Kayamba","Gastric cancer is a highly fatal disease in Zambia due to delayed diagnosis, aggressiveness of the disease and ineffective treatment. Programmed death ligand-1 is a key biomarker of gastric cancer, linked to immune evasion and response to anti- Programmed death ligand-1 therapies. This study aimed to evaluate the expression of in gastric cancer cases and its association with various clinicopathological prognostic factors in Zambia.
This pilot study utilized archived formalin-fixed, paraffin-embedded tissue blocks from patients diagnosed with gastric cancer at the University Teaching Hospitals in Lusaka, Zambia. A total of 41 gastric cancer samples were examined, with 65.9% female (27) and 34.1% male (14), and a median age of 63 years (interquatile range: 56–76). The slides were stained with Haematoxylin and Eosin, followed by immunohistochemical analysis to assess Programmed Death Ligand-1 expression, which was evaluated using a combined positive scoring system. Statistical analysis was conducted using STATA, version 15.
Six patients (14.6%) exhibited positive expression of Programmed Death Ligand-1, with a combined positive score of 1 or higher. However, our analysis did not reveal any significant associations between PD-L1 expression and any of the clinicopathological variables assessed.
We found that a small proportion (14.6%) of GCs in our population express Programmed Death Ligand-1, identifying a potentially therapeutically actionable patient group.",Biomedical Sciences,6/26/2025
Publish or Perish: Ushering in UNZA-JABS,J Chipeta; I Nyambe,"As we usher in this first issue of the University Of Zambia Journal Of Agricultural and Biomedical Sciences (UNZAJABS), JABS Volume 1 Issue 1 2012, we feel compelled to take you into a brief discourse on the essence of a university and the current state of African Universities as a way of ably explaining why we are introducing UNZA-JABS.",General,3/31/2012
Climate Change: Are We Doing Enough to Avert a Crisis?,F Haazele; B Chishala,"What the world is experiencing is clearly pointing to undesirable climatic changes with potential catastrophic consequences. This is evident from rising environmental temperatures associated with longer and deeper droughts, declining water resources in spite of increased overall rate of groundwater recharge in cold climates, predictable declining crop yields and complex variable crop responses. These changes are due to a complex phenomenon with diverse and widespread effects; global climate change",Agriculture Sciences,3/31/2012
Prevalence and Factors Associated with Schistosomiasis in Ng'ombe Township of Lusaka Urban District.,Ng'andwe Kalungwana; David Mwakazanga; James Mwansa; Mable Mwale Mutengo; Seter Siziya,"Background:The transmission cycle of schistosomiasis requires contamination of surface water by excreta, specific freshwater snails as intermediate hosts, and human water contact. The disease is a rural problem, but urban foci can be found in many endemic areas.  The Zambian Ministry of Health (MOH) reports that schistosomiasis is highly prevalent in rural districts especially those close to the Lakes and rivers. Anecdotal evidence suggests that Ng'ombe Township is the hardest hit by schistosomiasis in Lusaka province of Zambia. Though a number of studies including national surveys have been done on schistosomiasis, no study on the factors associated with the disease in Ng'ombe Township has been documented.
Materials and Methods: A Cross Sectional Exploratory survey was conducted to determine the prevalence and factors associated with schistosomiasis in five schools of Ng'ombe Township in Lusaka district where a total of 260 school-going children aged 8-14 years, attending grade three (3) to grade five (5) participated in the study. 
Results: No cases of S. mansoni were recorded in the five schools of Ng'ombe Township.However, the overall prevalence of S. haematobium infection was 13.1% (34/260). Age was significantly associated with infection. Compared with participants of age less than 10 years, participants aged 10-11 years and those aged 12 years or older were 5.17 (95% CI [1.62, 16.49]) and 14.96 (95% CI [2.52, 88.65]) times more likely to get infected, respectively. Children in grade five were 65% (AOR=0.35, 95% CI [0.02, 0.40]) less likely to have Schistosomiasis than those in grade three. Pupils whose source of water at school was a public water tap were 73% (AOR=0.27, 95% CI [0.09, 0.90]) less likely to have schistosomiasis than those that were using a communal hand pump at school.
Conclusions:The study clearly documents the persistent schistosoma infestation in a peri-urban school age population.",Biomedical Sciences,3/31/2012
"Knowledge, Attitude and Practice survey on Indoor Residual Spraying (IRS) in Linda Compound",Linda Malulu; Seter Siziya,"Background:There are wide gaps in empirical and perceptual baseline data and information on obtaining knowledge, attitudes and practices with respect to Indoor Residual Spraying (IRS). The main objective of this study was to assess the levels of Knowledge, Attitude and Practice that Linda residents have towards Indoor Residual Spraying. 
Materials and Methods: A descriptive cross-sectional study was carried out in Linda compound. A multi-stage sampling method was used to select households for the study and a purposive availability sampling method was used to constitute focus group discussions.
Results: A total of 387 respondents took part in the study. The levels of knowledge on malaria and IRS were 84.2 percent and 80.9 percent, respectively. However, the level of IRS utilisation was57.8percent. Age and knowledge of IRS were independently associated with acceptability of IRS. On each birthday, respondents were 3 percent more likely to accept IRS. Compared to respondents who had no knowledge of IRS, those who had knowledge were 77 percent more likely to accept IRS.
Conclusion:The level of IRS utilisation was low. To dispel various misconceptions and myths regarding IRS and indigenous methods of Malaria prevention, healthcare providers need to disseminate information about what IRS actually does.",Biomedical Sciences,3/31/2012
Prevalence of Helminths of Importance for Human Health in Stray Dogs in Lusaka Zambia.,"Eugene C Bwalya; Nalubamba, King S; Namangala, B","Stray dogs destined for euthanasia were collected from January 2010 through December 2010 to determine the presence of zoonotic gastrointestinal (GI) helminths in Lusaka district. A total of 33 stray dogs (male=18, female=15) were collected, euthanized and necropsy information obtained via helminthological approach. 100% (33/33) were infected with one or more helminth parasites. Multiple infections involving nematodes and cestodes were the most prevalent (63.6%), followed by nematodes only (33.3%) with cestodes only being the least prevalent (3.0%). The most prevalent GI helminth parasite was Ancylostomacaninum(93.9%) with the least prevalent being Toxocaracanis(6.1%). No positive case of Trichinella spiraliswas reported from direct trichinoscopy examination of striated muscles. The mean count per dog of A. caninumwas 44.45 (SD ±58.0) with a range of 0 to 223. The presence of three important zoonotic gastrointestinal helminths (A. caninum,T. canisand Dipylidiumcaninum) reported in this study underscores the importance of controlling helminthosis in stray dogs and stresses the need to establish a national control programme for parasitic diseases in this dog population.This can be achieved through vigorous implementation of the laws governing control of stray dogs and regular deworming of owned dogs. Controlling zoonotic helminths in dogs will ensure a minimal public health risk from the dog population in Zambia since they act as a source of infection to other dogs as well as humans",Veterinary Medicine,3/31/2012
Factors Affecting the Efficiency of Smallholder Cotton Producers in Zambia,Stephen Kabwe; Gelson Tembo; Thomson Kalinda,"Agriculture in Sub-Sahara Africa is considered as an engine of economic growth and has the potential to reduce rural poverty of smallholder farmers through increased food security and household income. However, most of Sub-Sahara Africa countries are faced with low agricultural productivity and this has undermined the potential to reduce rural poverty. The study focused on smallholder cotton producers in Zambia. Cotton is grown in Central, Eastern and Southern Provinces of Zambia and is an important cash crop which contributes over $60 million to the economy. It also supports over 150,000 households. However, productivity of smallholder cotton farmers in Zambia is low, around 800 kg per hectare or less. While in West Africa productivity is over 1000 kg per hectare. Agricultural productivity is defined as a measure of value of output for a given level of inputs. Efficiency is defined as the actual productivity of a farm relative to a maximal potential productivity. This shows that efficiency is related to productivity though it is productivity at maximum or minimum values. The study used the 2008 supplemental survey data collected by the Ministry of Agriculture and Cooperatives, Central Statistics and Food Security Research Project. Using Data Envelopment Analysis (DEA) this study determines the technical, allocative and economic efficiency indices of a sample of 812 (population estimates 150,801) cotton producers in Zambia. Using the Ordinary Least Squares (OLS) regression, the study determines the factors influencing technical, allocative and economic efficiency variations.  Results show that the mean technical, allocative and economic efficiency indices in cotton production are 46%, 37% and 20% respectively. This means that Zambian cotton farmers could reduce input use and production cost without altering the output by improving technical and allocative efficiency by 54% and 63% respectively. Female headed households, number of years spent in school by the household head, leaving crop residues, value of productive assets and off farm income are some of the factors found to positively influence the technical, allocative and economic efficiency. The study found that cotton farmers are relatively inefficient and there is room to improve efficiency among smallholder cotton farmers in Zambia. Some socio-economic and farm specific factors have a positive influence on efficiency. The study recommends that cotton stakeholders should devise strategies of involving more women in cotton production, improve access to productive assets, and encourage adoption of conservation farming crop residue retention as the means to improve cotton production efficiency.",Agriculture Sciences,3/31/2012
